iter	Passed	Remaining
0	20	8345
1	43	8660
2	64	8506
3	81	8108
4	104	8252
5	127	8400
6	151	8532
7	179	8776
8	209	9082
9	240	9366
10	278	9842
11	303	9822
12	327	9753
13	358	9883
14	384	9873
15	412	9894
16	436	9825
17	459	9745
18	483	9698
19	512	9746
20	539	9732
21	562	9669
22	582	9552
23	621	9739
24	644	9669
25	683	9827
26	719	9940
27	773	10274
28	809	10357
29	839	10348
30	859	10226
31	878	10098
32	897	9984
33	920	9907
34	939	9802
35	959	9698
36	977	9591
37	997	9501
38	1017	9416
39	1037	9340
40	1055	9244
41	1082	9227
42	1110	9218
43	1136	9197
44	1166	9203
45	1192	9174
46	1214	9118
47	1236	9066
48	1259	9023
49	1284	8993
50	1307	8948
51	1337	8951
52	1366	8946
53	1386	8883
54	1406	8819
55	1431	8792
56	1453	8747
57	1481	8733
58	1504	8692
59	1528	8660
60	1550	8617
61	1572	8570
62	1592	8521
63	1613	8471
64	1633	8418
65	1665	8426
66	1689	8399
67	1710	8353
68	1731	8305
69	1751	8258
70	1775	8225
71	1798	8193
72	1817	8142
73	1837	8093
74	1857	8047
75	1875	7996
76	1893	7942
77	1915	7909
78	1945	7906
79	1984	7939
80	2011	7923
81	2036	7899
82	2057	7859
83	2086	7849
84	2113	7832
85	2142	7822
86	2171	7812
87	2197	7789
88	2219	7754
89	2241	7721
90	2265	7691
91	2289	7665
92	2315	7644
93	2339	7615
94	2361	7580
95	2385	7552
96	2408	7523
97	2438	7515
98	2459	7479
99	2482	7446
100	2505	7417
101	2526	7380
102	2544	7337
103	2571	7319
104	2602	7310
105	2657	7371
106	2705	7408
107	2769	7488
108	2803	7485
109	2827	7454
110	2847	7414
111	2868	7376
112	2887	7334
113	2906	7290
114	2926	7253
115	2946	7214
116	2965	7172
117	2984	7132
118	3005	7097
119	3025	7058
120	3045	7023
121	3064	6983
122	3086	6949
123	3106	6915
124	3130	6887
125	3149	6849
126	3171	6817
127	3193	6785
128	3213	6750
129	3236	6721
130	3257	6688
131	3281	6662
132	3305	6635
133	3330	6610
134	3350	6577
135	3370	6542
136	3388	6505
137	3409	6473
138	3428	6438
139	3449	6405
140	3471	6376
141	3498	6355
142	3522	6330
143	3547	6306
144	3566	6271
145	3584	6236
146	3604	6203
147	3626	6175
148	3659	6164
149	3691	6152
150	3709	6117
151	3742	6106
152	3768	6083
153	3804	6077
154	3831	6055
155	3852	6026
156	3872	5993
157	3892	5962
158	3914	5933
159	3935	5902
160	3953	5869
161	3973	5837
162	3992	5805
163	4021	5787
164	4058	5779
165	4085	5759
166	4106	5729
167	4133	5707
168	4157	5682
169	4184	5661
170	4203	5629
171	4222	5596
172	4242	5567
173	4266	5541
174	4290	5516
175	4315	5492
176	4335	5462
177	4355	5432
178	4379	5407
179	4402	5381
180	4426	5356
181	4449	5329
182	4471	5301
183	4498	5280
184	4523	5257
185	4540	5223
186	4558	5192
187	4576	5160
188	4594	5129
189	4635	5123
190	4659	5098
191	4680	5070
192	4700	5041
193	4722	5014
194	4741	4985
195	4767	4961
196	4795	4941
197	4813	4911
198	4832	4881
199	4850	4850
200	4869	4821
201	4887	4790
202	4906	4761
203	4927	4734
204	4944	4702
205	4957	4669
206	4972	4636
207	4989	4605
208	5014	4582
209	5037	4558
210	5060	4532
211	5084	4509
212	5104	4481
213	5121	4451
214	5140	4423
215	5160	4395
216	5190	4377
217	5213	4352
218	5235	4326
219	5256	4300
220	5277	4274
221	5299	4249
222	5319	4221
223	5366	4216
224	5408	4206
225	5451	4196
226	5475	4172
227	5513	4159
228	5534	4132
229	5553	4104
230	5574	4077
231	5596	4052
232	5642	4044
233	5679	4028
234	5701	4003
235	5725	3978
236	5752	3956
237	5774	3930
238	5796	3904
239	5816	3877
240	5839	3852
241	5859	3825
242	5879	3798
243	5903	3774
244	5922	3747
245	5942	3719
246	5965	3695
247	5987	3669
248	6011	3645
249	6029	3617
250	6053	3593
251	6074	3567
252	6094	3541
253	6118	3516
254	6137	3490
255	6187	3480
256	6219	3460
257	6316	3476
258	6343	3453
259	6367	3428
260	6393	3404
261	6418	3380
262	6441	3355
263	6466	3331
264	6497	3309
265	6521	3285
266	6543	3259
267	6563	3232
268	6584	3206
269	6627	3191
270	6658	3169
271	6679	3143
272	6714	3123
273	6734	3096
274	6767	3076
275	6807	3058
276	6834	3034
277	6853	3007
278	6872	2980
279	6892	2953
280	6914	2928
281	6936	2902
282	6955	2875
283	6972	2847
284	6988	2820
285	7011	2794
286	7050	2776
287	7075	2751
288	7091	2723
289	7109	2696
290	7128	2669
291	7144	2642
292	7162	2615
293	7181	2589
294	7197	2561
295	7216	2535
296	7232	2508
297	7247	2480
298	7265	2454
299	7288	2429
300	7307	2403
